_Collision Id,Borough Name,Borough Number,Easting,Northing,_Vehicle Id,Vehicle Type Banded,Vehicle Type,Vehicle Manoeuvres,Vehicle Skidding and Overturning,Vehicle Restricted Lane,Location of Vehicle at First Impact,Vehicle Hit Object in Carriageway,Vehicle Leaving Carriageway,Vehicle Hit Object Off Carriageway,First Point of Impact,Journey Purpose,Driver Gender,Driver Age,Driver age (Banded)
1220386812,Harrow,29,514373,190123,2,Car,Car,Turning Right,No Skidding/Overturn,On Main CW - Not Rest.,Entering Main Rd,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,46,35-64
1220386834,Enfield,32,533513,197509,1,Car,Car,Going Ahead Other,Skidded,On Main CW - Not Rest.,Entering R'about,Hit Kerb,Left Cwy Offside,Hit Bus Stop,Front Hit First,Comm To/From Work,Male,20,17-24
1220386848,Haringey,31,535151,190786,1,Car,Car,Going Ahead Right Bend,Overturn,On Main CW - Not Rest.,Not At Jct,Hit Kerb,Did Not Leave,None,Front Hit First,Unknown,Male,21,17-24
1220386861,Lambeth,9,529892,171459,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct Mid,None,Did Not Leave,None,Front Hit First,Taking Pupil To/From Sch,Male,68,65+
1220386866,Camden,2,529400,184840,2,Car,Car,Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Front Hit First,Unknown,Male,67,65+
1220386876,Lewisham,7,536771,172931,1,Bus Or Coach,London Bus,Slowing Or Stopping,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,51,35-64
1220386879,Brent,28,520040,182754,1,Car,Car,Moving Off,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,Hit Parked Veh,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,35,35-64
1220386908,Croydon,20,530692,170138,1,Car,Car,Unknown (S/R),Unknown (S/R),Unknown (S/R),Not At Jct,Unknown (S/R),Unknown (S/R),Unknown (S/R),Front Hit First,Other/Not Known,Male,26,25-34
1220386911,Lambeth,9,529741,176607,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,63,35-64
1220386929,Hounslow,25,511591,176509,1,Car,Car,Turning Right,No Skidding/Overturn,Footway,Jct Mid,Hit Kerb,Left Cwy Offside,Wall Or Fence,Front Hit First,Other/Not Known,Female,79,65+
1220386934,Barking & Dagenham,16,544461,184318,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Did Not Leave,None,Front Hit First,Other/Not Known,Female,24,17-24
1220386941,Southwark,8,531791,180002,1,Car,Car,Slowing Or Stopping,No Skidding/Overturn,On Main CW - Not Rest.,Jct Mid,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,44,35-64
1220386945,Enfield,32,532934,196580,1,Car,Car,Turning Right,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Comm To/From Work,Female,52,35-64
1220386954,Sutton,21,529377,163083,2,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Entering R'about,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,43,35-64
1220386960,Hackney,4,533844,185194,1,Goods Vehicle,GDS =< 3.5T,Moving Off,No Skidding/Overturn,On Main CW - Not Rest.,Jct Mid,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,19,17-24
1220386962,Harrow,29,517752,192650,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,74,65+
1220386962,Harrow,29,517752,192650,2,Car,Car,Turning Left,No Skidding/Overturn,On Main CW - Not Rest.,Entering Main Rd,None,Did Not Leave,None,Front Hit First,Unknown,Male,53,35-64
1220386975,Harrow,29,514508,189459,1,Car,Car,Turning Right,No Skidding/Overturn,Cycle Lane (On CWY),Leaving Main Rd,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,49,35-64
1220386978,Newham,17,539847,182618,1,Car,Car,Turning Right,No Skidding/Overturn,On Main CW - Not Rest.,Jct Mid,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,72,65+
1220386989,Hammersmith & Fulham,11,523127,181197,1,Bus Or Coach,London Bus,Going Ahead Other,No Skidding/Overturn,Bus Lane,Entering Main Rd,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,25,25-34
1220386995,Havering,15,553045,186006,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Did Not Leave,None,Front Hit First,Other/Not Known,Female,34,25-34
1220387008,Newham,17,541685,180860,1,Car,Car,Moving Off,No Skidding/Overturn,On Main CW - Not Rest.,Leaving R'about,None,Did Not Leave,None,Front Hit First,Unknown,Male,37,35-64
1220387011,Harrow,29,513693,192520,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Left Cwy Offside,Hit Lamp Post,Front Hit First,Other/Not Known,Female,25,25-34
1220387014,Hackney,4,533655,186939,1,Car,Car,Going Ahead Other,No Skidding/Overturn,Entering Lay-by/Hard Shldr,Leaving Main Rd,None,Left Cwy Ahead At Junctn,None,Front Hit First,Comm To/From Work,Male,20,17-24
1220387015,Waltham Forest,13,537464,191168,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Did Not Leave,None,Front Hit First,Other/Not Known,Female,40,35-64
1220387016,Newham,17,543068,179901,1,Car,Car,Going Ahead Left Bend,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,24,17-24
1220387016,Newham,17,543068,179901,2,Car,Car,Turning Right,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Unknown,Female,52,35-64
1220387018,Lambeth,9,530021,175708,2,Car,Car,Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Front Hit First,Unknown,Not Traced,39,35-64
1220387021,Kingston-Upon-Thames,23,518152,170402,2,Taxi,Taxi,Moving Off,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,37,35-64
1220387023,Waltham Forest,13,538717,190604,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,22,17-24
1220387028,Hillingdon,26,510283,186974,2,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Unknown,Male,43,35-64
1220387036,Hillingdon,26,507736,182378,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct Cleared,None,Did Not Leave,None,Front Hit First,Other/Not Known,Female,28,25-34
1220387039,Tower Hamlets,5,536551,182770,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Comm To/From Work,Female,21,17-24
1220387046,Westminster,1,527281,183267,2,Car,Car,Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Front Hit First,Unknown,Not Traced,46,35-64
1220387048,Tower Hamlets,5,538317,180066,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,21,17-24
1220387056,Barnet,30,523418,187894,1,Car,Car,Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Unknown (S/R),Front Hit First,Other/Not Known,Female,26,25-34
1220387061,Newham,17,542903,183645,1,Car,Car,Turning Right,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,40,35-64
1220387068,Waltham Forest,13,537264,190930,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Comm To/From Work,Male,52,35-64
1220387075,Havering,15,552173,183015,2,Goods Vehicle,GDS =< 3.5T,Slowing Or Stopping,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,63,35-64
1220387077,Bexley,18,547650,170819,1,Car,Car,Slowing Or Stopping,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Unknown,Male,61,35-64
1220387077,Bexley,18,547650,170819,2,Car,Car,Going Ahead Held Up,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Unknown,Female,28,25-34
1220387077,Bexley,18,547650,170819,3,Car,Car,Going Ahead Held Up,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Unknown,Male,66,65+
1220387080,Newham,17,538684,184345,1,Bus Or Coach,London Bus,Moving Off,No Skidding/Overturn,On Main CW - Not Rest.,Not At Jct,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,34,25-34
1220387087,Barnet,30,527274,191904,1,Car,Car,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Other/Not Known,Male,40,35-64
1220387089,Croydon,20,533077,164723,1,Car,Car,Turning Right,No Skidding/Overturn,On Main CW - Not Rest.,Jct Mid,None,Did Not Leave,None,Front Hit First,Unknown,Male,48,35-64
1220387089,Croydon,20,533077,164723,3,Goods Vehicle,GDS =< 3.5T,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Unknown,Male,27,25-34
1220387090,Hammersmith & Fulham,11,522994,178556,1,Car,Car,Turning Left,No Skidding/Overturn,On Main CW - Not Rest.,Jct Cleared,None,Did Not Leave,None,Front Hit First,Jny Part Of Work,Male,52,35-64
1220387096,Lambeth,9,529963,173728,2,Car,Car,Overtake Move Veh O/S,No Skidding/Overturn,On Main CW - Not Rest.,Jct App,None,Did Not Leave,None,Front Hit First,Unknown,Male,31,25-34
1220387120,Haringey,31,532573,190511,1,Goods Vehicle,GDS =< 3.5T,Going Ahead Other,No Skidding/Overturn,On Main CW - Not Rest.,Jct Cleared,None,Did Not Leave,None,Front Hit First,Unknown,Not Traced,21,17-24
1220387122,Westminster,1,524953,181719,1,Car,Car,Waiting To Turn Right,No Skidding/Overturn,On Main CW - Not Rest.,Entering Main Rd,None,Did Not Leave,None,Front Hit First,Other/Not Known,Female,28,25-34
