,GSV_ID,Person,Bike,HeavyV,LightV,Facade,WindowOpening,Road,Sidewalk,StreetFurniture,GreeneryTree,GreeneryGrass,Sky,Nature
154,Rif5XgMGYtfaCAZZ7nY5kQ,0.01,0.0,0.0,0.03,0.42,0.0,0.29,0.07,0.0,0.08,0.01,0.09,0.0
155,fT362aTsO7QUvzX50pZxHA,0.0,0.0,0.0,0.06,0.47,0.0,0.17,0.06,0.01,0.09,0.0,0.08,0.0
156,SoZYL-sydl80eW3XqT8Dyw,0.0,0.0,0.0,0.03,0.12,0.0,0.38,0.02,0.01,0.07,0.02,0.34,0.0
157,tK-QFgDOfQtLOgC6l-t5lA,0.0,0.0,0.0,0.01,0.26,0.0,0.25,0.03,0.0,0.03,0.06,0.3,0.0
158,Qy9ESwZjeCbkiWaJqb02vg,0.0,0.0,0.0,0.03,0.08,0.0,0.35,0.04,0.0,0.11,0.0,0.36,0.0
159,Jjf-6_hFk-MBRX3bALIkiA,0.0,0.0,0.0,0.03,0.0,0.0,0.32,0.0,0.0,0.31,0.04,0.27,0.0
160,kM2C0Qggs-Gx5_22y1anvw,0.0,0.0,0.0,0.1,0.11,0.0,0.28,0.04,0.01,0.25,0.01,0.19,0.0
161,miTFQ4s0nA3Z2Hk21byPPA,0.0,0.0,0.01,0.11,0.23,0.0,0.32,0.03,0.0,0.1,0.01,0.19,0.0
162,zys52-xf2Qgjy5Gro_bMUQ,0.01,0.0,0.0,0.02,0.11,0.0,0.24,0.05,0.0,0.36,0.04,0.05,0.0
163,QY0I3CBLQEj-H7EMfnFs5Q,0.0,0.0,0.0,0.02,0.24,0.0,0.32,0.03,0.0,0.06,0.01,0.25,0.0
164,7I3kt1d0YrqU1sNs25gO1A,0.0,0.0,0.0,0.02,0.01,0.0,0.06,0.0,0.0,0.5,0.17,0.09,0.0
165,u3uxjn5uuK9c9jbkqZJwwA,0.0,0.0,0.0,0.07,0.14,0.0,0.23,0.06,0.0,0.09,0.08,0.31,0.0
166,oAT5t__-12oRRlJyr3twdg,0.0,0.0,0.0,0.02,0.29,0.0,0.15,0.08,0.0,0.04,0.03,0.26,0.0
167,fduWFbsrgFEN65vD2THKTQ,0.0,0.0,0.0,0.01,0.04,0.0,0.29,0.0,0.01,0.15,0.05,0.2,0.0
168,KuM-8iAw_LL4VXkdZNtqLA,0.02,0.0,0.0,0.0,0.45,0.0,0.21,0.11,0.0,0.02,0.03,0.07,0.0
169,-o7TMwkBnv43gYhe-9adhg,0.0,0.0,0.0,0.12,0.08,0.0,0.32,0.04,0.0,0.08,0.0,0.34,0.0
170,0fMeu92pKDUIALX2LvSo5Q,0.0,0.0,0.0,0.03,0.53,0.0,0.23,0.05,0.01,0.03,0.01,0.1,0.0
171,b0N-eLgbO7jGSJ__-EMGww,0.01,0.0,0.0,0.02,0.18,0.0,0.29,0.08,0.02,0.21,0.04,0.15,0.0
172,3FCYmhsmGDLs9y3UtN8rpA,0.0,0.0,0.0,0.07,0.19,0.0,0.2,0.03,0.0,0.19,0.03,0.23,0.0
