,_Collision Id,Easting,Northing,geometry,GSV_ID
193,1200256033,527341,182650,POINT (-0.1656869502840213 51.528410728588256),3lJGwZ0L-QPsh2fNrNim1Q
194,1200256212,526862,181909,POINT (-0.1728548628713911 51.52185918761656),UWCFYWwdN1rH17oZyeqdlQ
195,1200256327,527738,181685,POINT (-0.1603166513648282 51.51964889633626),jISqAQbz9bPg2U07nwOIUQ
196,1200256406,528264,179305,POINT (-0.1536045982543232 51.498141286627536),FbkFwahRHeXxi0N6jP9qYQ
197,1200256685,530262,178980,POINT (-0.1249574668856034 51.49476417981774),HxaJCQnque3F7Nx-SQz_rA
198,1200256996,525995,180613,POINT (-0.1858075242503481 51.51040601716551),hfH3DGKBtEn88zt7qmRzmg
199,1200257205,529966,178286,POINT (-0.1294742243531592 51.48859548273083),BkO6s20Hc47g3PK3IRljnw
200,1200257393,528307,178950,POINT (-0.1531144419959759 51.49494122554992),3hCcJLwhFJzd0J-J97YVAQ
201,1200257977,528940,179315,POINT (-0.1438678862747416 51.49807751053477),T8XjEYhpFRyCCkcSP-b7fw
202,1200258306,528359,182092,POINT (-0.1512231106606698 51.52316585960891),EsmIF9FYH2GR_tm4iR8T_Q
203,1200258505,525766,182244,POINT (-0.1885241691777184 51.52511468566879),QvSM2QTsmOaRV5cCJSAzJQ
204,1200258525,524669,182876,POINT (-0.2041051342794866 51.53103746902413),fki0-EWSR1RTXqXje18cFA
205,1200258720,523831,182519,POINT (-0.2163052242651842 51.528013320085826),xH3e612vu2e8d8zNDV_WIg
206,1200258842,525685,183089,POINT (-0.1893898770189258 51.53272665436169),ypAX6QqqEQnOyGLonmE8Kg
207,1200258922,527888,182087,POINT (-0.1580101490809835 51.52322767317015),hH52LzDRwAUuzXppHWsmgg
208,1200259142,529602,180301,POINT (-0.1339745387063664 51.50678714151054),ShYafEv7cY6sJ3K2I4DF-w
209,1200260861,526754,182550,POINT (-0.1741802702238117 51.527643987820596),ZUAsKQTMctLj9xtiTPUQeg
210,1200261174,524122,182417,POINT (-0.2121484113809695 51.52703281492404),THBDIAjDJgXM7aBPToaxJw
211,1200261251,525244,182481,POINT (-0.1959603969670432 51.52736049069999),RRUwMFd6wEeHtZaB1xDdyg
212,1200261276,527620,181385,POINT (-0.1621249666391059 51.516979501801494),2AO1_cx4XDOl5ie4wy-WTA
213,1200261303,529272,178438,POINT (-0.139408706421507 51.490120396276005),CAoSLEFGMVFpcFA5OTRLT1B1OHVwZjF4dWhkTFdYeW9xTHlMQ1BGcmx2OFY0NUNv
214,1200261350,525612,181702,POINT (-0.1909358748976574 51.52027800374908),dj8vfp5WfCcY62awYQ0btA
215,1200261381,526096,182491,POINT (-0.1836815811037853 51.52726093519411),wCH1WHNhrovrmaOUNEiV1Q
216,1200261622,528438,181753,POINT (-0.1502084939730509 51.520101411503944),PZkltNkSFqjX7KRPSvhSXw
217,1200261698,530061,180633,POINT (-0.1272423237619306 51.50966535407605),g-uxcy7zS1g9nsYYCKEhjg
218,1200261826,527086,180857,POINT (-0.1700069576378145 51.51235471544592),EvDzEOmtzgcHUmtZBvOYZA
219,1200261880,527576,181540,POINT (-0.1627026925132262 51.51838238645196),BB9kYYe43lW_otE_jOIacQ
220,1200262011,528894,182198,POINT (-0.1434772091153759 51.52399672199983),tJ5EGgoFpk_guOiH4djkpA
221,1200262069,530044,178985,POINT (-0.1280941297689629 51.49485925303085),AtWZXKzrAFJYtCtAbnAa4Q
222,1200262183,524690,182263,POINT (-0.2040193481575586 51.525523805813194),we-WxNYoqNZZoS2oUpNdAg
223,1200262253,526316,181792,POINT (-0.18076231465427 51.520929977704235),9nwKUYtxyGQS2StOZNuVog
224,1200262431,528233,178883,POINT (-0.1542041482155032 51.49435588341887),mZsz4Y_dYJtEgD6QUVmKbQ
225,1200262732,528033,180629,POINT (-0.1564504071187029 51.5100921283643),UdSqJyGajvC_8GTQyS2qBQ
226,1200262800,526408,180697,POINT (-0.1798293409514526 51.51106876226419),AgTv7OLwLaoqzG0YTzeRwA
227,1200262942,527646,182348,POINT (-0.1614019365742383 51.52562792053917),VT1NRvZHbW5muKaptTiHFg
228,1200262992,525772,183323,POINT (-0.188052766615594 51.534810236481896),sjZyt3UPwL2iuO68fhodbg
229,1200263019,526736,182039,POINT (-0.174623268188604 51.523055739683976),Y-soi7npZZ2MVlWgcGq8cw
230,1200263432,527357,182248,POINT (-0.1656016311358089 51.524794425677754),hzTzsPTfokM51-GMTP7kIg
